127,0,1
368,0,2
188,0,0
104,0,1
443,0,2
35,0,1
439,0,2
56,0,1
50,0,1
246,0,0
81,0,1
432,0,2
289,0,2
180,0,0
944,0,0
339,0,2
226,0,1
66,0,1
117,0,1
1067,0,1
258,0,1
348,0,1
176,0,1
42,0,1
87,0,1
62,0,1
26,0,1
329,0,3
164,0,2
195,0,0
33,0,1
240,0,2
59,0,1
625,0,4
485,0,2
134,0,1
433,0,3
612,0,4
824,0,4
59,0,1
165,0,1
582,0,4
280,0,2
446,0,1
105,0,1
366,0,2
137,0,2
267,0,1
53,0,1
30,0,1
261,0,1
68,0,1
49,0,1
11,0,1
172,0,1
576,0,0
115,0,1
350,0,3
104,0,0
79,0,1
289,0,2
166,0,1
134,0,1
61,0,1
136,0,0
354,0,1
403,0,2
220,0,1
245,0,2
48,0,1
125,0,1
148,0,0
95,0,1
203,0,0
29,0,1
48,0,1
65,0,1
196,0,0
297,0,2
224,0,2
217,0,1
671,0,2
218,0,0
39,0,1
199,0,2
507,0,2
383,0,1
73,0,1
296,0,1
115,0,1
164,0,1
309,0,2
261,0,1
358,0,3
425,0,0
86,0,1
481,0,0
81,0,1
52,0,1
1082,0,0
279,0,1
432,0,2
23,0,1
109,0,2
152,0,1
151,0,2
375,0,1
177,0,1
325,0,1
54,0,1
146,0,1
38,0,1
29,0,1
266,0,1
18,0,1
420,0,1
165,0,1
134,0,1
870,0,1
28,0,1
153,0,1
52,0,1
164,0,1
87,0,2
126,0,2
143,0,1
183,0,1
67,0,1
286,0,2
605,0,1
21,0,1
169,0,0
11,0,1
404,0,2
169,0,1
429,0,2
158,0,1
429,0,1
60,0,1
10,0,1
745,0,2
335,0,2
164,0,1
220,0,0
76,0,1
45,0,1
562,0,2
387,0,1
359,0,0
521,0,2
127,0,2
286,0,2
435,0,1
219,0,2
224,0,1
217,0,0
108,0,1
222,0,1
312,0,3
227,0,1
137,0,1
56,0,1
237,0,2
115,0,1
141,0,1
283,0,0
36,0,1
1206,0,1
36,0,1
118,0,1
225,0,0
125,0,2
201,0,1
601,0,3
43,0,1
166,0,2
369,0,1
197,0,0
104,0,1
66,0,1
199,0,2
50,0,1
171,0,0
105,0,1
336,0,1
80,0,1
133,0,1
251,0,2
40,0,1
221,0,1
481,0,2
375,0,1
62,0,0
53,0,1
706,0,1
81,0,1
255,0,1
324,0,1
54,0,1
427,0,1
430,0,0
25,0,1
19,0,1
96,0,1
373,0,0
255,0,1
